ID,TITLE,DESCRIPTION,PUBLISHED_AT,CATEGORY_ID,DURATION,CAPTION,LIKE_COUNT,COMMENT_COUNT,VIEW_COUNT
6pPxy713RhI,Hoa Hải Đường | Jack | Cover Guitar đệm hợp âm,hợp âm 1 thiên hà như vôi dm gm c dm x2 2 tiếc là lúc đầu dm gm c fa7 kiếp này hải đường dm gm ca7dm đk vì lòng trong đây dm am bbfa7 vậy mà tình ta dm am bba7dm drop dm am gm a7 x2 fb httpswwwfacebookcomprofilephpid100005968653032,2020-09-23T01:54:51Z,22,PT1M57S,false,53,11,2770
fpDN6pfCwHA,Giấc Mơ Tình Yêu - Hương Lê | Guitar Cover | Acoustic Cover | Túy Ân Acoustic,about httpslinktreetuyannguyen zalo 09874 09748 cung cấp nhạc cụ và lớp dạy đàn khu vực hcm,2024-05-10T03:45:54Z,22,PT1M54S,false,10,2,574
B6g5_PyrXNw,Đúng Cũng Thành Sai | Mỹ Tâm | Guitar cover có hợp âm,fb httpswwwfacebookcomprofilephpid100005968653032 đúng cũng đành sai mỹ tâm hợp âm f c dm am bb amdmgm c quá đủ rồi quá mệt rồi quá muộn rồi tình yêu không có lỗi lỗi là do chúng ta thôi vì khi yêu là sẽ luôn đúng chẳng bao giờ đắn đo muốn yêu tìm cách hết yêu thì tìm lý do prechorus dm am bbcf dm am bb c ngày nào còn yêu thì luôn nghĩ đến cho nhau bấy nhiêu mà giờ người ta lạnh lùng đến thế dẫu mình nuông chiều chẳng hề hay biết cuộc tình đã khác trước kia quá nhiều cứ vô tư dành tặng mọi thứ cho người mình yêu chorus f am bb amdmgm c f am bb am bbcamdmgmcf nếu người ta đã nghĩ họ đúng điều mình nói đúng cũng thành sai nếu người ta đã không cần nữa mình làm gì thì cũng không phải còn yêu thì sẽ luôn nhẫn nại cho dù ai đang sai đã hết yêu rồi cố gắng lại làm phiền người ta thôi nếu người ta đã luôn giận dỗi tìm mọi cách khiến ta buông xuôi nếu tình yêu đã không còn mới đừng ngạc nhiên người đó thay đổi đối với mình họ là thế giới nhưng người ta nào có nghĩ ngợi đã hết yêu rồi đúng cũng thành sai thôi,2020-09-30T03:25:07Z,22,PT1M15S,false,15,10,2068
AAEX3Iqqmu4,Happy For You - Lukas Graham (feat. Vũ.)  || Cover Guitar Phiên bản tự chế.,ủng hộ anh vũ httpsyoutubemf4upapwheo dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-07-02T18:28:02Z,22,PT1M21S,false,41,6,2274
m-L5Ies18RM,Đi Cùng Em - Hà Tròn ft. Lemon Climb || Cover guitar đệm hợp âm,capo 3 bb tone gốc g em c d bm em amc d g d em bm c g c d,2020-08-24T01:39:41Z,22,PT1M41S,false,26,5,1491
kbaQDZEvXLs,Vợ ơi | Lê Bảo Bình | Guitar cover chỉ 4 hợp âm,fb httpswwwfacebookcomprofilephpid100005968653032 vợ ơi lê bảo bình 4 hợp âm abm e f d m tông chuẩn các bạn có thể đánh cao lên 1 xíu cho dễ am f g em,2020-10-15T02:02:59Z,22,PT1M53S,false,27,5,2891
IM4lor3o96I,NGHE - NÓI || OBITO & PJPO || RAP VIỆT MÙA 2 COVER GUITAR VỚI 4 HỢP ÂM,hợp âm vòng a fm d dm hoặc đơn giản hơn capo ngăn 2 g em c cm dạy guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-12-19T12:13:32Z,22,PT1M30S,false,61,9,3802
O-Nz2ltbZLY,Yêu Thầm | Hoàng Yến Chibi x Tlinh x Lyly x TDK | Cover Guitar đệm hợp âm,ủng hộ yêu thầm của chị hoàng yến chibi httpsyoutube8sjl66eanue nhịp 44 tông c hợp âm vòng c am dm fmg dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-04-08T08:19:41Z,22,PT1M37S,false,18,2,1914
xEkkQ5Jjl7M,Trốn Tìm - Đen Vâu ft. MTV band || Cover guitar đệm hợp âm,ủng hộ anh đen vâu httpsyoutubewsqlpsltr8 lyrics chords trốn tìm f x2 dm x2 e x2 am x2 có một cái cây trong một cái vườn trên những tán cây nở rộ những đóa hoa có hai đứa nhóc đang chơi trốn tìm tìm hoài tìm mãi nên quên lối về am x2 f x2 dm x2 e x2 anh đi tìm thì em trốn anh đi trốn em không tìm lòng em không gợn sóng cuối cùng anh mất công chìm nếu mà có cây búa anh sẽ nện cho bỏ công vì nhớ nhung đặc quánh giờ nó khô thành bê tông chúng ta rồi sẽ có có những chuyến đi dài tự học lấy mọi thứ vì trong tình trường làm biến ghi bài câu chuyện của chúng ta bỗng có thêm một miếng bi hài vì cách mà em gọi anh không có u và thiếu y dài ê phía xa thành phố người ta đã bật đèn đường hương xưa quen làm anh thấy thật thèm thuồng nỗi buồn vàng rực cứ như chứa đồng thâu hệt như là beckham vây em chỉ giỏi cứa lòng nhau hé cửa sổ ra mà xem có một chàng thi sĩ đững ở ngay nhà em viết nhạc tình mát ngọt tựa như cây cà kem anh ta sẽ đứng ở nơi đây cả đêm f x2 dm x2 e x2 am x2 có hai cái cây trong một cái vườn trên những tán cây nỡ rộ những đóa hoa có hai đứa nhóc đang chơi trốn tìm tìm hoài tìm mãi nên quên lối về am x2 f x2 dm x2 e x2 hồi đó anh rụt rè như đám cây mắc cỡ gần em làm anh hồi hộp tới mức gây tắc thở ta đều không biết có đều gì sau đám mây sắp nở trò chơi trốn tìm ngày đó sau này đầy trắc trở ta săn bắn những khát vọng và hái lượm những giấc mơ ta gieo trồng cây ước mọng thứ mà lấy đi nhiều thì giờ ta đào những cái hố mà không biết có ngày bị lọt để rất lâu sau này chúng ta cau mày nhận ra không phải tất cả bông hoa thì đều sẽ có những nhụy ngọt gọi tên em làm anh mất giọng hoài hệt như là một giấc mộng dài ta đi tìm cả thế giới những mà lại trốn nhau biết vậy thà nghỉ chơi từ lúc mới chớm đau người đi tìm cái người đi trốn người đi trốn cái người đi tìm am x2 f x2 dm x2 e x2 am x2 tình yêu từ những ngày xưa đã ngủ quên dưới tán cây im lìm có ba cái cây trong một cái cái vườn trên những tán cây nở rộ những đóa hoa có hai đứa nhóc đang chơi trốn tìm tìm hoài tìm mãi nên quên lối về f x2 dm x2 e x2 am x2 ai đó đã chặt hết cây và cũng chẳng thấy vườn chẳng thấy cây trong vườn ai đó đã xây một ngôi nhà rất to chặt hết cây đi rồi chắc em hạnh phúc yên vui với người nhà em có chó anh không dám vào dạo f x2 dm x2 e x2 am x2 niềm cô đơn của những người trưởng thành e là khi muốn trốn nhưng không ai muốn tìm am nhiều khi ta muốn ta được bé lại e để khi đi trốn có người đi tìm am nhiều khi ta muốn ta được bé lại e để khi đi trốn ecó người đi tìm am dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-05-13T17:00:01Z,22,PT1M24S,false,65,8,5281
C2baIpyFBZA,LAYLALAY (ANH ĐÃ SAI) | JACK | Guitar đệm hợp âm,ủng hộ jack nhé mn httpsyoutubebtfozbiiu4e dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-04-13T08:22:00Z,22,PT1M23S,false,13,2,595
NSXtHFlwEAw,Sao Cha Không || Phạn Mạnh Quỳnh || Nhạc phim Bố Già - Trấn Thành || Cover đệm hợp âm Guitar,sao cha không – phan mạnh quỳnh – nhạc phim bố già nhịp 44 – tone bb capo 3 g g c am cd cha đứng với con nhìn phố xa xa dặn con ra sao cứ luôn mỉm cười như cách cha dấu mệt mỏi ngày dài thì trở về nhà vẫn ắp niềm vui cha nói với con phải vững tin lên đừng bao giờ quên giấc mơ của mình tuổi thơ của con có cha đồng hành là điều vô giá c gb am d ngày con thêm lớn khôn cảm nhận thêm rõ hơn cuộc đời con biết cha đã thăng trầm con biết cha còn muôn lời thầm lặng chorus g df em cd vì sao cha ơi chẳng kể con nghe điều cha tiếc nuối từ lâu chôn giấu khi đã quên đam mê đời mình để con no ấm cha chật vật mưu sinh g df em cdg vượt qua sóng gió lời cha dẫn bước mở rộng tim con bao dung như cha trong đêm đau thương vẫn yêu cuộc đời vẹn nguyên mơ ước như ánh sao trời nhưng sao không nói cùng con cha ơi ủng hộ anh phan mạnh quỳnh và anh trấn thành phim bố già httpsyoutubetd7sbuigdiu dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-03-13T02:22:57Z,22,PT1M22S,false,38,2,3780
kzbupW6wjVo,What Love Is...ba chàng ngông team Binz với 3 hợp âm cover đệm guitar siêu dễ,ủng hộ team binz httpsyoutubeusi5vkut8ni dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032 hợp âm vòng am em am em am em dm em lyrics rpt gonzo tình yêu là gì em nói anh xem không nhiều tật xấu ngoài thói nhanh quên tôi đã mất rất nhiều đêm thao thức lắng nghe về những lừa dối quanh em những người tôi từng nói rằng yêu họ deep inside lost how i feel ya những người đã nói rằng họ yêu tôi rồi biến nó thành đã từng yêu thôi ta phải đau thật nhiều vì yêu trước khi kịp hiểu ra một điều muốn gần bên nhau dù cho tính tình mỗi người một kiểu thì ta cần học được cách thứ tha những lần gần mà lòng cứ xa là đôi khi ta cần thêm khoảng trống chứ không không phải là do người thứ ba tell me what love is then tell me why no matter what its the otherwise lovers bite hard but its all alright love is having you there by my side 4x binz tell me what love is gonzo tell me what love is and love me is what you tell binz là những ngày nắng trời thênh thang và cuốn lyrics dày thêm trang tình yêu là gì mà khiến anh phải ngồi viết về mưa chắc liên quan là những ngày gió về lao xao đánh thức anh giữa ngàn chiêm bao dù là bao lâu dù làm nhau đau vì em anh sẵn sàng đánh đổi tất cả right now dâng tình yêu anh không tiếc nhưng tin con tim anh không biết như khói nhẹ bay nỗi buồn dễ tàn ngay may là anh đã không siết guitar mỗi 2 hợp âm ba chàng ngông ngồi gonzo hát vu vơ về love binz girl what youve done em thấy không gonzo you got me fallin hard 2x binz tell me what love is gonzo tell me what love is and love me is what you tell 2x thành draw tell me what your love is love is love và em ơi nói tôi nghe tình yêu là gì mà tại sao trong phút chốc em vội ra đi và em ơi nói tôi nghe tình yêu là gì mà tại sao đã có lúc lệ ướt hoen mi thế nhân kia hỏi tại sao đãi kẻ khù khờ người bỗng từ đâu lại đến tỏa làn khói cho tim mù mờ mọi thứ đều có lý do cho tôi được biết lý do mình chờ đợi ai hồi lâu mỗi sáng trước ngõ sao tôi lại khác không như mình ngờ và tại sao tôi lại thành thật vậy thành thật trong từng lời nói mà tại sao lại nói tất cả cho em dù người mới quen tôi chỉ biết cảm xúc cứ chảy trên môi là những làn khói đằng sau đó là chút niềm tin tôi đành đặt cược vào cảm nhận này tôi muốn mình hiểu rõ được mình quan sát mọi thứ từng ngày qua ngày cảm xúc sẽ không lừa dối khi tôi được có em tay trong tay biết đâu sẽ tới một ngày tôi lại thay đổi như tôi lúc này tới lúc đó tôi sẽ tự hỏi vậy tình yêu trong tôi là gì all 2x 2 hợp âm 3 chàng ngôn ngồi hát vu vơ baby girl what youve done i fall in love thành draw tell me what your love is gonzo tell me your love and tell me your love thành draw show me what your love is gonzo show me your love and show me your love 2x thành draw tell me what your love is love is love gonzo what is love,2020-11-26T06:28:46Z,22,PT48S,false,30,15,3195
VoQCttZvEkg,STREAM ĐẾN BAO GIỜ - ĐỘ MIXI ft. HUYR cover Guitar đệm hợp âm,tone g hợp âm phần điệp khúc c g c adg,2020-09-13T07:52:15Z,22,PT44S,false,45,17,4580
ixMr205RWHw,The Right Jourey - GDucky || Dấn thân vì ngày mai tươi đẹp || Cover đệm hợp âm Guitar,ủng hộ gducky httpsyoutubei8ykxttwl5u dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2020-11-14T14:47:06Z,22,PT57S,false,6,3,542
rb-SOHfXkkI,THANH || Thịnh Suy || Cover hợp âm Guitar,ủng hộ thịnh suy httpsyoutubedw7ibsn0ry dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-04-29T05:49:23Z,22,PT1M,false,15,1,705
Xs-WhHIrXME,"Yêu đương gì tầm này ""NHÀ BAO VIỆC"" - Rtee || Cover guitar hợp âm",ủng hộ rtee httpsyoutubekllcyjvvhmu hợp âm d m bmaj7bb7 fb httpswwwfacebookcomprofilephpid100005968653032,2020-11-12T01:50:03Z,22,PT1M9S,false,17,6,1366
DGieCk9lhs8,Do for love *AMEE*  Cover đệm hợp âm Guitar,httpswwwfacebookcomprofilephpid100005968653032,2020-05-15T02:09:45Z,22,PT50S,false,45,2,2060
tSlWcXe-gQk,Thằng Cuội || Cover Guitar,dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-09-09T01:26:59Z,22,PT1M11S,false,4,0,107
_cMP3ZgZjto,Nói Chia Tay Thật Khó | Trấn Thành x Thuỳ Chi x Viruss | Cover Guitar đệm hợp âm,fb httpswwwfacebookcomprofilephpid100005968653032,2020-10-21T05:57:37Z,22,PT2M13S,false,23,4,1700
ozhQkh3LXrg,SƠN TÙNG M-TP | CHÚNG TA CỦA TƯƠNG LAI | Guitar Cover | Guitar Hướng Dẫn,hợp âm full bài ver dm gm c fce dm g c fce bridge dm gm c fce dm g bbcfce chorus dm g c fce dm g bbcfce ver rap dm gm c f dm gm c fce bridge dm gm c fce dm g bbcfce chorus 1 dm g c fce dm g bbcfce chorus 2 dm g c fce dm g bbcfce about httpslinktreetuyannguyen zalo 09874 09748,2024-03-08T08:37:13Z,22,PT58S,false,115,15,11548
qKw2hE5uHoE,Chúng ta của hiện tại - Sơn Tùng MTP || Cover guitar đệm hợp âm,cày view cho sơn tùng mtp httpsyoutubepsz1g9fmfeo dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2020-12-21T05:54:22Z,22,PT46S,false,15,3,1856
jECP6ry5V6M,"Andree Right Hand - Dân Chơi Sao Phải Khóc ft. RHYDER, WOKEUP | Guitar cover | Guitar Hướng Dẫn",about httpslinktreetuyannguyen,2024-03-27T07:14:54Z,22,PT56S,false,8,1,796
suoCRN1HWcE,ĐI ĐU ĐƯA ĐI *Bích Phương* cover đệm hợp âm Guitar,fb httpswwwfacebookcomprofilephpid100005968653032refbookmarks,2019-09-17T04:53:15Z,22,PT24S,false,372,10,26994
P339VhDHqe0,"Nhỏ ơi || Cover Guitar, Piano & Vocal",dạy đệm hát guitar ukulele piano tp hcm,2020-12-12T11:13:37Z,22,PT3M23S,false,5,0,235
hK-kPgMte-k,Em Ơi - Hương Lê | Guitar Cover | Acoustic Cover | Túy Ân Acoustic,about httpslinktreetuyannguyen zalo 09874 09748 cung cấp nhạc cụ và lớp dạy đàn khu vực hcm,2024-05-14T10:41:11Z,22,PT1M54S,false,9,0,452
ERZzgQFLUJo,Thích Em Hơi Nhiều (Lofi Ver.) - Wren Evans x Freak D || Cover Guitar đệm hợp âm - Solo,ủng hộ wren evans freak d httpsyoutubefasvtbyg0lq dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-06-29T16:22:34Z,22,PT1M3S,false,6,2,284
LkaccexMhFQ,HIEUTHUHAI - Không Thể Say | Guitar Cover | Guitar Hướng Dẫn,about httpslinktreetuyannguyen zalo 09874 09748,2024-03-16T10:01:58Z,22,PT1M44S,false,246,15,22150
J0Wqixh8cRg,Có Em Chờ - Hương Lê | Guitar Cover | Acoustic Cover | Túy Ân Acoustic,about httpslinktreetuyannguyen zalo 09874 09748 cung cấp nhạc cụ và lớp dạy đàn khu vực hcm,2024-05-24T04:26:05Z,22,PT1M12S,false,12,0,485
WgKqz-xjUCg,Con Đường Mưa || St: Nguyễn Văn Chung || Guitar Cover,,2022-03-06T04:35:29Z,22,PT1M56S,false,4,1,102
ZMmvR_6nE7M,ĐỢI - 52Hz | Guitar Cover | Guitar Hướng Dẫn,hợp âm vòng dmaj7 x2 ddim7 x2 em7 x2 a7 x2 about httpslinktreetuyannguyen zalo 09874 09748,2024-03-12T08:05:38Z,22,PT59S,false,137,5,6999
LeT3dyWJrD4,SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | Guitar Cover | Guitar Hướng Dẫn,about httpslinktreetuyannguyen zalo 09874 09748 cung cấp nhạc cụ và lớp dạy đàn khu vực hcm,2024-06-09T09:38:06Z,22,PT1M33S,false,63,13,3704
FGEHQHsG0do,"Cây đàn Guitar 40 triệu đổi được tiếng Saxophone, Organ, Piano, Flute,... độc đáo",tên sản phẩm godin grand concert sa fb httpswwwfacebookcomprofilephpid100005968653032,2020-12-23T02:11:34Z,22,PT1M,false,9,0,799
uttKbsT7_U0,CAFE KHÔNG ĐƯỜNG || JOMBIE x TKAN & BEAN || COVER ĐỆM HỢP ÂM GUITAR ( chỉ 3 hợp âm),cafe không đường hợp âm nhịp 24 chỉ 3 hợp âm vòng dm f c dm cày view cho cafe không đường httpsyoutubelimki9uvjcy dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2021-02-28T08:31:48Z,22,PT1M29S,false,226,16,25488
9uMPaJ-1n9Q,WREN EVANS - Tò Te Tí | Guitar Cover | Guitar Hướng Dẫn,about httpslinktreetuyannguyen,2024-01-17T07:43:50Z,22,PT51S,false,62,7,4248
acihxXj-Hdg,Chưa Được Yêu Như Thế - Hương Lê | Guitar Cover | Acoustic Cover | Túy Ân Acoustic,about httpslinktreetuyannguyen zalo 09874 09748 cung cấp nhạc cụ và lớp dạy đàn khu vực hcm,2024-05-22T02:18:48Z,22,PT1M22S,false,25,5,1655
apnq5qLTc_0,Ngoại Lệ Của Nhau - Phương Ly (Obito remake) | Guitar Cover | Guitar Hướng Dẫn,about httpslinktreetuyannguyen,2024-03-19T07:36:31Z,22,PT57S,false,26,5,1801
0qgS_BZ-Ed0,Cứ Chill Thôi - Hương Lê | Guitar Cover | Acoustic Cover | Túy Ân Acoustic,about httpslinktreetuyannguyen zalo 09874 09748 cung cấp nhạc cụ và lớp dạy đàn khu vực hcm,2024-05-18T03:27:33Z,22,PT1M13S,false,18,1,793
kJzUHkDROrg,BÍCH PHƯƠNG - Nâng Chén Tiêu Sầu | Guitar Cover | Guitar Hướng Dẫn,hợp âm vòng bm fm g f7 bm fm gf7bm about httpslinktreetuyannguyen,2024-03-09T06:31:45Z,22,PT1M15S,false,24,2,2857
TIcZJRK62YA,Dù Chẳng Phải Anh - Hương Lê | Guitar Cover | Acoustic Cover | Túy Ân Acoustic,about httpslinktreetuyannguyen zalo 09874 09748 cung cấp nhạc cụ và lớp dạy đàn khu vực hcm,2024-07-05T03:48:09Z,22,PT1M41S,false,6,1,401
ZnyUF86x-08,Người Ta Nói || St: Nguyễn Hoài Anh || Guitar Cover,,2022-03-04T06:51:55Z,22,PT1M16S,false,3,0,48
e7iJDp3ZopQ,Mê Cung Tình Yêu - 52Hz | Guitar Cover | Guitar Hướng Dẫn,about httpslinktreetuyannguyen,2024-03-14T02:43:10Z,22,PT44S,false,16,0,927
ln2crPuFFy8,LÃNG DU | MCK x Wren Evans | Guitar Cover | Guitar Hướng Dẫn,hợp âm fm7 cm7 g7 cm7 about httpslinktreetuyannguyen,2024-02-01T11:45:19Z,22,PT1M11S,false,21,2,1021
a69SDtN0mNE,THIÊN ĐÀNG - WOWY || Guitar cover đệm hợp âm,fb httpswwwfacebookcomprofilephpid100005968653032 thiên đàng wowy tone g kẹp capo ngăn 1 chơi g chords g am em d nhịp 44 lyrics wowy thiên đường dành cho anh ông trời dẫn lối đi tới trước cổng trời miệng anh nhả khói con biết nơi này từng là khu con sống tiên nữ đâu hết rồi mau đưa con vào trong địa ngục trần gian con không thể ở bóp cổ satang làm nó tắt thở giết chết kẻ xấu lũ quỷ không tha thứ họ tống con đi vì con là vết nhơ con đã chọn lên thiên đàng ngồi sofa gác cái chân lên cái bàn coi phim ma thế gian hỏi wy đi đâu lâu vậy thiên đàng thượng giới wy đang ở đây nếu mày muốn lên đây thì hãy quyết định cái xấu cái tốt do mình phân tính cuộc đời mỗi người mình là nhân vật chính thời gian là một cuộc hành trình thư jolipoli được thấy thiên đàng nơi đây nguy nga ngàn mây mây bay trắng ngà từ xa thiên thần cất vài lời ca i’m living in your love love love let all the walls fall down stop waiting just love out loud wowy anh sẽ cho cả thế giới thấy điều anh làm là được ba anh má anh đã nói ông trời đã nhắn anh trước bên trái bên phải bên đúng bên sai ngày sinh nhật trên tay nó sẽ nhắc để anh nhớ rằng anh là ai nè ê anh là người quyết định trong tất cả các bữa tiệc anh đều là nhân vật chính khi anh bước tới mang luồng gió mới mọi người hét mọi người thét wowy tới chơi không cần phải đợi bởi anh không có time đây là thời khắc ông trời sắp sửa ban anh lấy hết thế gian này là dành cho anh giây phút quyết định của anh là đây wowy anh ở đây hay ngoài kia thư jolipoli do em chọn wowy anh ở đây hay ngoài kia thư jolipoli do em chọn wowy anh ở đây hay ngoài kia thư jolipoli đó là do em chọn wowy câu trả lời của em đó là thư jolipoli trên thiên đàng thư jolipoli được thấy thiên đàng nơi đây nguy nga ngàn mây mây bay trắng ngà từ xa thiên thần cất vài lời ca i’m living in your love love love let all the walls fall down stop waiting just love out loud wowy lên thiên đàng lên thiên đàng lên thiên đàng nà lên thiên đàng lên thiên đàng lên thiên đàng nà lên thiên đàng lên thiên đàng lên thiên đàng nà lên thiên đàng lên thiên đàng lên thiên đàng nà lên thiên đàng lên thiên đàng lên thiên đàng nà lên thiên đàng lên thiên đàng lên thiên đàng nà lên thiên đàng lên thiên đàng lên thiên đàng nà thư jolipoli được thấy thiên đàng nơi đây nguy nga ngàn mây mây bay trắng ngà từ xa thiên thần cất vài lời ca i’m living in your love love love let all the walls fall down stop waiting just love out loud được thấy thiên đàng nơi đây nguy nga ngàn mây mây bay trắng ngà từ xa thiên thần cất vài lời ca i’m living in your love love love let all the walls fall down stop waiting just love out loud,2020-10-07T11:22:50Z,22,PT2M51S,false,182,23,17287
SDjjnZxrl58,Hãy Ra Khỏi Người Đó Đi - Hương Lê | Guitar Cover | Acoustic Cover | Túy Ân Acoustic,about httpslinktreetuyannguyen zalo 09874 09748 cung cấp nhạc cụ và lớp dạy đàn khu vực hcm,2024-06-05T08:05:48Z,22,PT1M31S,false,3,0,61
PH7cWNlZZHI,MONO - 'Em Xinh' | Guitar Cover | Guitar Hướng Dẫn,hợp âm fmaj7 dm7 gm7 cadd9 about httpslinktreetuyannguyen zalo 09874 09748,2024-01-05T11:41:12Z,22,PT39S,false,37,13,3644
jHvcp2obFNc,WEAN - badbye | Guitar Cover | Guitar Hướng Dẫn,about httpslinktreetuyannguyen zalo 09874 09748,2024-04-06T07:02:25Z,22,PT1M28S,false,9,2,613
pX15gduHJJo,VA VÀO GIAI ĐIỆU NÀY - MCK || COVER GUITAR HỢP ÂM,ủng hộ mck httpsyoutubeiifwna3umie dạy đệm hát guitar ukulele piano tp hcm fb httpswwwfacebookcomprofilephpid100005968653032,2020-11-13T14:19:52Z,22,PT50S,false,176,13,15369
_rrJRs3dAWQ,Vũ Thanh Vân - Em Không | Guitar Cover | Guitar Hướng Dẫn,hợp âm vòng fmaj7 dm7 c7 bmaj7 about httpslinktreetuyannguyen,2024-03-15T05:21:36Z,22,PT1M3S,false,4,2,301
hWXBT1EnaG8,SODA - MCK prod.GC | Guitar Cover | Guitar Hướng Dẫn,about httpslinktreetuyannguyen,2024-03-21T02:55:42Z,22,PT1M10S,false,7,0,384
UVLFmwxCEnA,Nói Dối (CM1X Remix) - Pháo ft. HIEUTHUHAI | Guitar Cover | Guitar Hướng Dẫn,about httpslinktreetuyannguyen,2024-03-24T07:40:29Z,22,PT1M13S,false,3,0,194
ctfQU7DKhWE,Hạnh Phúc Mới - Hương Lê | Guitar Cover | Acoustic Cover | Túy Ân Acoustic,about httpslinktreetuyannguyen zalo 09874 09748 cung cấp nhạc cụ và lớp dạy đàn khu vực hcm,2024-06-25T02:51:33Z,22,PT1M15S,false,6,1,171
hq02z6VnFm8,Dẫu Có Lỗi Lầm - Hương Lê | Guitar Cover | Acoustic Cover | Túy Ân Acoustic,about httpslinktreetuyannguyen zalo 09874 09748 cung cấp nhạc cụ và lớp dạy đàn khu vực hcm,2024-06-02T08:12:33Z,22,PT1M45S,false,4,2,75
